access_url,bandwidths,center_frequencies,configuration,freq_max,freq_min,instrument_name,nums_channels,obs_publisher_did,pol_states,project_code,proprietary_status,s_dec,s_ra,spectral_resolutions,spw_names,t_exptime,target_name
https://data.nrao.edu/portal/#/productViewer/14A-232.sb28857771.eb29015194.56725.408101863424,"128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0","36541000000.0,36669000000.0,36797000000.0,36925000000.0,37053000000.0,37181000000.0,37309000000.0,37437000000.0,37565000000.0,37693000000.0,37821000000.0,37949000000.0,38077000000.0,38205000000.0,38333000000.0,38461000000.0,34541000000.0,34669000000.0,34797000000.0,34925000000.0,35053000000.0,35181000000.0,35309000000.0,35437000000.0,35565000000.0,35693000000.0,35821000000.0,35949000000.0,36077000000.0,36205000000.0,36333000000.0,36461000000.0,32541000000.0,32669000000.0,32797000000.0,32925000000.0,33053000000.0,33181000000.0,33309000000.0,33437000000.0,33565000000.0,33693000000.0,33821000000.0,33949000000.0,34077000000.0,34205000000.0,34333000000.0,34461000000.0,30541000000.0,30669000000.0,30797000000.0,30925000000.0,31053000000.0,31181000000.0,31309000000.0,31437000000.0,31565000000.0,31693000000.0,31821000000.0,31949000000.0,32077000000.0,32205000000.0,32333000000.0,32461000000.0",A,3.8396E10,3.0476E10,EVLA,"64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64",14A-232.sb28857771.eb29015194.56725.408101863424,"RR, RL, LR, LL",14A-232,PUBLIC,30.50915523770354,202.78453326533136,"2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","EVLA_KA#A1C1#2,EVLA_KA#A1C1#3,EVLA_KA#A1C1#4,EVLA_KA#A1C1#5,EVLA_KA#A1C1#6,EVLA_KA#A1C1#7,EVLA_KA#A1C1#8,EVLA_KA#A1C1#9,EVLA_KA#A1C1#10,EVLA_KA#A1C1#11,EVLA_KA#A1C1#12,EVLA_KA#A1C1#13,EVLA_KA#A1C1#14,EVLA_KA#A1C1#15,EVLA_KA#A1C1#16,EVLA_KA#A1C1#17,EVLA_KA#A2C2#18,EVLA_KA#A2C2#19,EVLA_KA#A2C2#20,EVLA_KA#A2C2#21,EVLA_KA#A2C2#22,EVLA_KA#A2C2#23,EVLA_KA#A2C2#24,EVLA_KA#A2C2#25,EVLA_KA#A2C2#26,EVLA_KA#A2C2#27,EVLA_KA#A2C2#28,EVLA_KA#A2C2#29,EVLA_KA#A2C2#30,EVLA_KA#A2C2#31,EVLA_KA#A2C2#32,EVLA_KA#A2C2#33,EVLA_KA#B1D1#34,EVLA_KA#B1D1#35,EVLA_KA#B1D1#36,EVLA_KA#B1D1#37,EVLA_KA#B1D1#38,EVLA_KA#B1D1#39,EVLA_KA#B1D1#40,EVLA_KA#B1D1#41,EVLA_KA#B1D1#42,EVLA_KA#B1D1#43,EVLA_KA#B1D1#44,EVLA_KA#B1D1#45,EVLA_KA#B1D1#46,EVLA_KA#B1D1#47,EVLA_KA#B1D1#48,EVLA_KA#B1D1#49,EVLA_KA#B2D2#50,EVLA_KA#B2D2#51,EVLA_KA#B2D2#52,EVLA_KA#B2D2#53,EVLA_KA#B2D2#54,EVLA_KA#B2D2#55,EVLA_KA#B2D2#56,EVLA_KA#B2D2#57,EVLA_KA#B2D2#58,EVLA_KA#B2D2#59,EVLA_KA#B2D2#60,EVLA_KA#B2D2#61,EVLA_KA#B2D2#62,EVLA_KA#B2D2#63,EVLA_KA#B2D2#64,EVLA_KA#B2D2#65",191.45,J1331+3030
https://data.nrao.edu/portal/#/productViewer/14A-232.sb28857771.eb29015194.56725.408101863424,"128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0","36541000000.0,36669000000.0,36797000000.0,36925000000.0,37053000000.0,37181000000.0,37309000000.0,37437000000.0,37565000000.0,37693000000.0,37821000000.0,37949000000.0,38077000000.0,38205000000.0,38333000000.0,38461000000.0,34541000000.0,34669000000.0,34797000000.0,34925000000.0,35053000000.0,35181000000.0,35309000000.0,35437000000.0,35565000000.0,35693000000.0,35821000000.0,35949000000.0,36077000000.0,36205000000.0,36333000000.0,36461000000.0,32541000000.0,32669000000.0,32797000000.0,32925000000.0,33053000000.0,33181000000.0,33309000000.0,33437000000.0,33565000000.0,33693000000.0,33821000000.0,33949000000.0,34077000000.0,34205000000.0,34333000000.0,34461000000.0,30541000000.0,30669000000.0,30797000000.0,30925000000.0,31053000000.0,31181000000.0,31309000000.0,31437000000.0,31565000000.0,31693000000.0,31821000000.0,31949000000.0,32077000000.0,32205000000.0,32333000000.0,32461000000.0",A,3.8396E10,3.0476E10,EVLA,"64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64",14A-232.sb28857771.eb29015194.56725.408101863424,"RR, RL, LR, LL",14A-232,PUBLIC,-13.080430064363679,263.2612741263405,"2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","EVLA_KA#A1C1#2,EVLA_KA#A1C1#3,EVLA_KA#A1C1#4,EVLA_KA#A1C1#5,EVLA_KA#A1C1#6,EVLA_KA#A1C1#7,EVLA_KA#A1C1#8,EVLA_KA#A1C1#9,EVLA_KA#A1C1#10,EVLA_KA#A1C1#11,EVLA_KA#A1C1#12,EVLA_KA#A1C1#13,EVLA_KA#A1C1#14,EVLA_KA#A1C1#15,EVLA_KA#A1C1#16,EVLA_KA#A1C1#17,EVLA_KA#A2C2#18,EVLA_KA#A2C2#19,EVLA_KA#A2C2#20,EVLA_KA#A2C2#21,EVLA_KA#A2C2#22,EVLA_KA#A2C2#23,EVLA_KA#A2C2#24,EVLA_KA#A2C2#25,EVLA_KA#A2C2#26,EVLA_KA#A2C2#27,EVLA_KA#A2C2#28,EVLA_KA#A2C2#29,EVLA_KA#A2C2#30,EVLA_KA#A2C2#31,EVLA_KA#A2C2#32,EVLA_KA#A2C2#33,EVLA_KA#B1D1#34,EVLA_KA#B1D1#35,EVLA_KA#B1D1#36,EVLA_KA#B1D1#37,EVLA_KA#B1D1#38,EVLA_KA#B1D1#39,EVLA_KA#B1D1#40,EVLA_KA#B1D1#41,EVLA_KA#B1D1#42,EVLA_KA#B1D1#43,EVLA_KA#B1D1#44,EVLA_KA#B1D1#45,EVLA_KA#B1D1#46,EVLA_KA#B1D1#47,EVLA_KA#B1D1#48,EVLA_KA#B1D1#49,EVLA_KA#B2D2#50,EVLA_KA#B2D2#51,EVLA_KA#B2D2#52,EVLA_KA#B2D2#53,EVLA_KA#B2D2#54,EVLA_KA#B2D2#55,EVLA_KA#B2D2#56,EVLA_KA#B2D2#57,EVLA_KA#B2D2#58,EVLA_KA#B2D2#59,EVLA_KA#B2D2#60,EVLA_KA#B2D2#61,EVLA_KA#B2D2#62,EVLA_KA#B2D2#63,EVLA_KA#B2D2#64,EVLA_KA#B2D2#65",19.95,J1733-1304
https://data.nrao.edu/portal/#/productViewer/14A-232.sb28857771.eb29015194.56725.408101863424,"128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0","36541000000.0,36669000000.0,36797000000.0,36925000000.0,37053000000.0,37181000000.0,37309000000.0,37437000000.0,37565000000.0,37693000000.0,37821000000.0,37949000000.0,38077000000.0,38205000000.0,38333000000.0,38461000000.0,34541000000.0,34669000000.0,34797000000.0,34925000000.0,35053000000.0,35181000000.0,35309000000.0,35437000000.0,35565000000.0,35693000000.0,35821000000.0,35949000000.0,36077000000.0,36205000000.0,36333000000.0,36461000000.0,32541000000.0,32669000000.0,32797000000.0,32925000000.0,33053000000.0,33181000000.0,33309000000.0,33437000000.0,33565000000.0,33693000000.0,33821000000.0,33949000000.0,34077000000.0,34205000000.0,34333000000.0,34461000000.0,30541000000.0,30669000000.0,30797000000.0,30925000000.0,31053000000.0,31181000000.0,31309000000.0,31437000000.0,31565000000.0,31693000000.0,31821000000.0,31949000000.0,32077000000.0,32205000000.0,32333000000.0,32461000000.0",A,3.8396E10,3.0476E10,EVLA,"64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64",14A-232.sb28857771.eb29015194.56725.408101863424,"RR, RL, LR, LL",14A-232,PUBLIC,-31.276662777309227,266.09826083491834,"2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","EVLA_KA#A1C1#2,EVLA_KA#A1C1#3,EVLA_KA#A1C1#4,EVLA_KA#A1C1#5,EVLA_KA#A1C1#6,EVLA_KA#A1C1#7,EVLA_KA#A1C1#8,EVLA_KA#A1C1#9,EVLA_KA#A1C1#10,EVLA_KA#A1C1#11,EVLA_KA#A1C1#12,EVLA_KA#A1C1#13,EVLA_KA#A1C1#14,EVLA_KA#A1C1#15,EVLA_KA#A1C1#16,EVLA_KA#A1C1#17,EVLA_KA#A2C2#18,EVLA_KA#A2C2#19,EVLA_KA#A2C2#20,EVLA_KA#A2C2#21,EVLA_KA#A2C2#22,EVLA_KA#A2C2#23,EVLA_KA#A2C2#24,EVLA_KA#A2C2#25,EVLA_KA#A2C2#26,EVLA_KA#A2C2#27,EVLA_KA#A2C2#28,EVLA_KA#A2C2#29,EVLA_KA#A2C2#30,EVLA_KA#A2C2#31,EVLA_KA#A2C2#32,EVLA_KA#A2C2#33,EVLA_KA#B1D1#34,EVLA_KA#B1D1#35,EVLA_KA#B1D1#36,EVLA_KA#B1D1#37,EVLA_KA#B1D1#38,EVLA_KA#B1D1#39,EVLA_KA#B1D1#40,EVLA_KA#B1D1#41,EVLA_KA#B1D1#42,EVLA_KA#B1D1#43,EVLA_KA#B1D1#44,EVLA_KA#B1D1#45,EVLA_KA#B1D1#46,EVLA_KA#B1D1#47,EVLA_KA#B1D1#48,EVLA_KA#B1D1#49,EVLA_KA#B2D2#50,EVLA_KA#B2D2#51,EVLA_KA#B2D2#52,EVLA_KA#B2D2#53,EVLA_KA#B2D2#54,EVLA_KA#B2D2#55,EVLA_KA#B2D2#56,EVLA_KA#B2D2#57,EVLA_KA#B2D2#58,EVLA_KA#B2D2#59,EVLA_KA#B2D2#60,EVLA_KA#B2D2#61,EVLA_KA#B2D2#62,EVLA_KA#B2D2#63,EVLA_KA#B2D2#64,EVLA_KA#B2D2#65",134.65,J1744-3116
https://data.nrao.edu/portal/#/productViewer/14A-232.sb28857771.eb29015194.56725.408101863424,"128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0,128000000.0","36541000000.0,36669000000.0,36797000000.0,36925000000.0,37053000000.0,37181000000.0,37309000000.0,37437000000.0,37565000000.0,37693000000.0,37821000000.0,37949000000.0,38077000000.0,38205000000.0,38333000000.0,38461000000.0,34541000000.0,34669000000.0,34797000000.0,34925000000.0,35053000000.0,35181000000.0,35309000000.0,35437000000.0,35565000000.0,35693000000.0,35821000000.0,35949000000.0,36077000000.0,36205000000.0,36333000000.0,36461000000.0,32541000000.0,32669000000.0,32797000000.0,32925000000.0,33053000000.0,33181000000.0,33309000000.0,33437000000.0,33565000000.0,33693000000.0,33821000000.0,33949000000.0,34077000000.0,34205000000.0,34333000000.0,34461000000.0,30541000000.0,30669000000.0,30797000000.0,30925000000.0,31053000000.0,31181000000.0,31309000000.0,31437000000.0,31565000000.0,31693000000.0,31821000000.0,31949000000.0,32077000000.0,32205000000.0,32333000000.0,32461000000.0",A,3.8396E10,3.0476E10,EVLA,"64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64",14A-232.sb28857771.eb29015194.56725.408101863424,"RR, RL, LR, LL",14A-232,PUBLIC,-29.00779694269657,266.4168262513661,"2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0","EVLA_KA#A1C1#2,EVLA_KA#A1C1#3,EVLA_KA#A1C1#4,EVLA_KA#A1C1#5,EVLA_KA#A1C1#6,EVLA_KA#A1C1#7,EVLA_KA#A1C1#8,EVLA_KA#A1C1#9,EVLA_KA#A1C1#10,EVLA_KA#A1C1#11,EVLA_KA#A1C1#12,EVLA_KA#A1C1#13,EVLA_KA#A1C1#14,EVLA_KA#A1C1#15,EVLA_KA#A1C1#16,EVLA_KA#A1C1#17,EVLA_KA#A2C2#18,EVLA_KA#A2C2#19,EVLA_KA#A2C2#20,EVLA_KA#A2C2#21,EVLA_KA#A2C2#22,EVLA_KA#A2C2#23,EVLA_KA#A2C2#24,EVLA_KA#A2C2#25,EVLA_KA#A2C2#26,EVLA_KA#A2C2#27,EVLA_KA#A2C2#28,EVLA_KA#A2C2#29,EVLA_KA#A2C2#30,EVLA_KA#A2C2#31,EVLA_KA#A2C2#32,EVLA_KA#A2C2#33,EVLA_KA#B1D1#34,EVLA_KA#B1D1#35,EVLA_KA#B1D1#36,EVLA_KA#B1D1#37,EVLA_KA#B1D1#38,EVLA_KA#B1D1#39,EVLA_KA#B1D1#40,EVLA_KA#B1D1#41,EVLA_KA#B1D1#42,EVLA_KA#B1D1#43,EVLA_KA#B1D1#44,EVLA_KA#B1D1#45,EVLA_KA#B1D1#46,EVLA_KA#B1D1#47,EVLA_KA#B1D1#48,EVLA_KA#B1D1#49,EVLA_KA#B2D2#50,EVLA_KA#B2D2#51,EVLA_KA#B2D2#52,EVLA_KA#B2D2#53,EVLA_KA#B2D2#54,EVLA_KA#B2D2#55,EVLA_KA#B2D2#56,EVLA_KA#B2D2#57,EVLA_KA#B2D2#58,EVLA_KA#B2D2#59,EVLA_KA#B2D2#60,EVLA_KA#B2D2#61,EVLA_KA#B2D2#62,EVLA_KA#B2D2#63,EVLA_KA#B2D2#64,EVLA_KA#B2D2#65",568.45,SGRA
https://data.nrao.edu/,"1024000.0,1024000.0","36600000000.0,37200000000.0",A,3.8E10,3.6E10,EVLA,"128,128",DEMO-HIRES.eb0001,/RR/LL/,DEMO-HIRES,Public,-29.0078,266.4168,"8000.0,8000.0","0,1",800.0,PSR J1745-2900
