freq_Hz,freq_GHz,lineshape_1_per_Hz
37115949293.620422,37.115949293620,4.005590486428e-11
37115949479.201096,37.115949479201,4.106941154640e-11
37115949664.781769,37.115949664782,4.210750958181e-11
37115949850.362442,37.115949850362,4.317076799785e-11
37115950035.943115,37.115950035943,4.425976828685e-11
37115950221.523796,37.115950221524,4.537510470839e-11
37115950407.104469,37.115950407104,4.651738436558e-11
37115950592.685143,37.115950592685,4.768722774574e-11
37115950778.265816,37.115950778266,4.888526880878e-11
37115950963.846489,37.115950963846,5.011215530830e-11
37115951149.427162,37.115951149427,5.136854907250e-11
37115951335.007835,37.115951335008,5.265512629041e-11
37115951520.588516,37.115951520589,5.397257785831e-11
37115951706.169189,37.115951706169,5.532160945880e-11
37115951891.749863,37.115951891750,5.670294218839e-11
37115952077.330536,37.115952077331,5.811731265029e-11
37115952262.911209,37.115952262911,5.956547332192e-11
37115952448.491882,37.115952448492,6.104819287470e-11
37115952634.072563,37.115952634073,6.256625656286e-11
37115952819.653236,37.115952819653,6.412046630409e-11
37115953005.233910,37.115953005234,6.571164139179e-11
37115953190.814583,37.115953190815,6.734061859096e-11
37115953376.395256,37.115953376395,6.900825255029e-11
37115953561.975929,37.115953561976,7.071541615896e-11
37115953747.556602,37.115953747557,7.246300090996e-11
37115953933.137283,37.115953933137,7.425191734453e-11
37115954118.717957,37.115954118718,7.608309513297e-11
37115954304.298630,37.115954304299,7.795748389943e-11
37115954489.879303,37.115954489879,7.987605332010e-11
37115954675.459976,37.115954675460,8.183979359345e-11
37115954861.040649,37.115954861041,8.384971584509e-11
37115955046.621323,37.115955046621,8.590685253993e-11
37115955232.202003,37.115955232202,8.801225798926e-11
37115955417.782677,37.115955417783,9.016700842972e-11
37115955603.363350,37.115955603363,9.237220297729e-11
37115955788.944023,37.115955788944,9.462896372568e-11
37115955974.524696,37.115955974525,9.693843628239e-11
37115956160.105370,37.115956160105,9.930179022718e-11
37115956345.686050,37.115956345686,1.017202196794e-10
37115956531.266724,37.115956531267,1.041949433728e-10
37115956716.847397,37.115956716847,1.067272057357e-10
37115956902.428070,37.115956902428,1.093182769873e-10
37115957088.008743,37.115957088009,1.119694537366e-10
37115957273.589417,37.115957273589,1.146820594922e-10
37115957459.170090,37.115957459170,1.174574451801e-10
37115957644.750771,37.115957644751,1.202969897898e-10
37115957830.331444,37.115957830331,1.232021004412e-10
37115958015.912117,37.115958015912,1.261742136313e-10
37115958201.492790,37.115958201493,1.292147953252e-10
37115958387.073463,37.115958387073,1.323253416373e-10
37115958572.654137,37.115958572654,1.355073794061e-10
37115958758.234810,37.115958758235,1.387624667792e-10
37115958943.815491,37.115958943815,1.420921939474e-10
37115959129.396164,37.115959129396,1.454981831993e-10
37115959314.976837,37.115959314977,1.489820903584e-10
37115959500.557510,37.115959500558,1.525456048650e-10
37115959686.138184,37.115959686138,1.561904505495e-10
37115959871.718857,37.115959871719,1.599183862797e-10
37115960057.299538,37.115960057300,1.637312067788e-10
37115960242.880211,37.115960242880,1.676307426656e-10
37115960428.460884,37.115960428461,1.716188620763e-10
37115960614.041557,37.115960614042,1.756974707348e-10
37115960799.622231,37.115960799622,1.798685128124e-10
37115960985.202904,37.115960985203,1.841339716453e-10
37115961170.783577,37.115961170784,1.884958704631e-10
37115961356.364258,37.115961356364,1.929562733161e-10
37115961541.944931,37.115961541945,1.975172850913e-10
37115961727.525604,37.115961727526,2.021810533787e-10
37115961913.106277,37.115961913106,2.069497685216e-10
37115962098.686951,37.115962098687,2.118256645896e-10
37115962284.267624,37.115962284268,2.168110201843e-10
37115962469.848305,37.115962469848,2.219081594694e-10
37115962655.428978,37.115962655429,2.271194521607e-10
37115962841.009651,37.115962841010,2.324473156287e-10
37115963026.590324,37.115963026590,2.378942149253e-10
37115963212.170998,37.115963212171,2.434626638648e-10
37115963397.751671,37.115963397752,2.491552259125e-10
37115963583.332344,37.115963583332,2.549745150871e-10
37115963768.913025,37.115963768913,2.609231971261e-10
37115963954.493698,37.115963954494,2.670039894343e-10
37115964140.074371,37.115964140074,2.732196634991e-10
37115964325.655045,37.115964325655,2.795730448801e-10
37115964511.235718,37.115964511236,2.860670144301e-10
37115964696.816391,37.115964696816,2.927045092893e-10
37115964882.397064,37.115964882397,2.994885238955e-10
37115965067.977745,37.115965067978,3.064221112987e-10
37115965253.558418,37.115965253558,3.135083830583e-10
37115965439.139091,37.115965439139,3.207505120122e-10
37115965624.719765,37.115965624720,3.281517322197e-10
37115965810.300438,37.115965810300,3.357153403372e-10
37115965995.881111,37.115965995881,3.434446967288e-10
37115966181.461792,37.115966181462,3.513432269233e-10
37115966367.042465,37.115966367042,3.594144214548e-10
37115966552.623138,37.115966552623,3.676618389747e-10
37115966738.203812,37.115966738204,3.760891061429e-10
37115966923.784485,37.115966923784,3.846999191504e-10
37115967109.365158,37.115967109365,3.934980449386e-10
37115967294.945831,37.115967294946,4.024873224384e-10
37115967480.526512,37.115967480527,4.116716642104e-10
37115967666.107185,37.115967666107,4.210550562034e-10
37115967851.687859,37.115967851688,4.306415613180e-10
37115968037.268532,37.115968037269,4.404353192209e-10
37115968222.849205,37.115968222849,4.504405480569e-10
37115968408.429878,37.115968408430,4.606615458065e-10
37115968594.010559,37.115968594011,4.711026920990e-10
37115968779.591232,37.115968779591,4.817684478862e-10
37115968965.171906,37.115968965172,4.926633594392e-10
37115969150.752579,37.115969150753,5.037920580834e-10
37115969336.333252,37.115969336333,5.151592620876e-10
37115969521.913925,37.115969521914,5.267697781515e-10
37115969707.494598,37.115969707495,5.386285029141e-10
37115969893.075279,37.115969893075,5.507404249894e-10
37115970078.655952,37.115970078656,5.631106245187e-10
37115970264.236626,37.115970264237,5.757442777361e-10
37115970449.817299,37.115970449817,5.886466565892e-10
37115970635.397972,37.115970635398,6.018231308565e-10
37115970820.978645,37.115970820979,6.152791697974e-10
37115971006.559319,37.115971006559,6.290203438256e-10
37115971192.139999,37.115971192140,6.430523267907e-10
37115971377.720673,37.115971377721,6.573808953822e-10
37115971563.301346,37.115971563301,6.720119343386e-10
37115971748.882019,37.115971748882,6.869514359271e-10
37115971934.462692,37.115971934463,7.022055023137e-10
37115972120.043365,37.115972120043,7.177803473898e-10
37115972305.624046,37.115972305624,7.336822992854e-10
37115972491.204720,37.115972491205,7.499177996199e-10
37115972676.785393,37.115972676785,7.664934093309e-10
